Spring 2025: Waterloo Final Examination Schedule,,,,,,
students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-waterloo.html,,,,,,
Course,Section,Date,Time,Rooms,,
,,12,p.m.,
CH250,A,"Thursday,",Noon,SB103
,,Aug. 07,,
CH350,A,"Thursday,",Noon,SB107
,,Aug. 07,,
CP104,D,"Tuesday, Aug.",Noon,LH1010
,,12,,
CP164,A (Student last names A - Mil),"Wednesday,",Noon,LH1010
,,Aug. 06,,
CP164,A (Student last names Mob - Z),"Wednesday,",Noon,LH1011
,,Aug. 06,,
CP212,C,"Friday, Aug.",Noon,LH3094
,,8,,
CP213,D,"Monday, Aug.",Noon,LH1010
,,11,,
CP214,D,"Friday, Aug.",Noon,LH1010
,,1,,
CP216,C,"Tuesday, Aug.",8:30,LH3094
,,12,a.m.,
CP220,D (Student last names A - O),"Tuesday, Aug.",8:30,SB106
,,5,a.m.,
CP220,D (Student last names P - Z),"Tuesday, Aug.",8:30,SB107
,,5,a.m.,
CP264,D,"Thursday,",Noon,LH3094
,,Aug. 14,,
CP312,C,"Saturday, Aug.",Noon,LH3094
,,9,,
CP317,C (Student last names A - H),"Tuesday, Aug.",Noon,LH1009
,,5,,
,,,,6/9
Course,Section,Date,Time,Rooms
CP317,C (Student last names I - P),"Tuesday, Aug.",Noon,LH1010
,,5,,
CP317,C (Student last names Q - Z),"Tuesday, Aug.",Noon,LH1011
,,5,,
CP386,C (Student last names A - L),"Wednesday,",Noon,SB106
,,Aug. 13,,
CP386,C (Student last names M - R),"Wednesday,",Noon,SB107
,,Aug. 13,,
CP386,C (Student last names S - Z),"Wednesday,",Noon,SB103
,,Aug. 13,,
CP423,B,"Thursday,",3:30,LH1010
,,Aug. 14,p.m.,
CP468,A,"Thursday,",3:30,LH3094
,,Aug. 07,p.m.,
CP476,B (Student last names A - H),"Wednesday,",Noon,LH2062
,,Aug. 06,,
CP476,B (Student last names J - P),"Wednesday,",Noon,LH2064
,,Aug. 06,,
